sys_id,sys_code,main_id,ids,otype_txt,otype_shortname,otype_longname,otypes,Average of ra,Average of dec,Average of dist
883,,HD 233153                   ,Karmn J05415+534|2MASS J05413073+5329239|PLX 1291|LSPM J0541+5329|ASCC  246599|AG+53  487|BD+53   935|CCDM J05413+5329B|CSI+53   935  1|Ci 20  342|G 191-51|GCRV 56493|GEN# +1.00233153|GJ   212|HD 233153|HIC  26801|HIP  26801|IDS 05332+5326 B|LFT  424|LHS  1775|LTT 11696|MCC 465|NLTT 15446|PPM  29975|SAO  25321|UBV M  27785|UBV    5649|VVO  54|YZ  53  2265|Zkh  72|[E38] 35|[RHG95]   956|vMa 2-6|USNO-B1.0 1434-00163962|PLX 1291.00|WDS J05413+5329B|TYC 3749-996-1|** ENG   22B|UCAC4 718-041369|StKM 2-420|PM J05415+5329|WEB  5285|Gaia DR2 263916742385357056                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,PM*    ,PM*          ,High proper-motion Star        ,** |*  |PM*|IR |PM*                                                                    ,85.37804415,53.4898028,12.278
884,,HD  37394                   ,2MASS J05412033+5328523|PLX 1289|LSPM J0541+5328|ASCC  246596|V* V538 Aur|GSC 03749-01334|NSV 16618|2RE J0541+532|2RE J054119+532931|AG+53  486|BD+53   934|CCDM J05413+5329A|CSI+53   934  1|Ci 20  341|GC  7064|GCRV  3500|GEN# +1.00037394|GJ   211|HD  37394|HIC  26779|HIP  26779|HR  1925|IDS 05332+5326 A|IRAS 05373+5327|JP11  1201|LFT  423|LHS  1774|LTT 11694|NLTT 15439|PMC 90-93  4855|PPM  29972|RE J0541+532|RE J054117+532855|SAO  25319|SKY#  9285|SPOCS  276|TYC 3749-1334-1|UBV    5672|UBV M  11289|YZ  53  2262|[GKL99] 145|uvby98 100037394|USNO-B1.0 1434-00163923|1RXS J054122.0+532903|WDS J05413+5329A|** ENG   22A|** BUP   82A|WISEA J054120.37+532846.5|WEB  5281|Gaia DR2 263916708025623680                                                                                                                                                                                                                                                                                                                                                      ,BY*    ,BY*          ,Variable of BY Dra type        ,*  |V* |Fl*|UV |X  |IR |PM*|BY*|PM*|PM*|** |PM*|*  |Ro*                                ,85.3347322,53.48105851,12.2805
885,,WT 1827                     ,Karmn J10430-092AB|2MASS J10430293-0912410|FBS L 10-72|FBS 1040-089|WT 1827|Gaia DR2 3762231926405726720|WISEA J104301.42-091237.0|WDS J10430-0913AB|UCAC4 404-051073|PM J10430-0912|** WSI  112                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,**     ,**           ,Double or multiple star        ,IR |*  |PM*|PM*|PM*|** |PM*|PM*|*                                                      ,160.7619033,-9.211366609,12.2851
886,,G 234-53                    ,LSPM J0902+6803|G 234-53|GJ  3526|LP   60-179|NLTT 20759|[RHG95]  1417|2MASS J09025284+6803464|USNO-B1.0 1580-00148242|PLX 2149.02|UCAC4 791-021107|PM J09028+6803|Gaia DR2 1117132130541140736                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,PM*    ,PM*          ,High proper-motion Star        ,*  |PM*|IR |PM*                                                                        ,135.720297,68.062937,12.2856
887,,LTT  1732                   ,2MASS J03385590-5234107|LEHPM 3445|LTT  1732|RAVE J033855.9-523411|UCAC4 188-003584|PM J03389-5234|Gaia DR2 4733113441195646592                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,PM*    ,PM*          ,High proper-motion Star        ,PM*|IR |*  |PM*                                                                        ,54.73297848,-52.56961363,12.2856
888,,HD 175224                   ,PLX 4369|CCDM J18575-5600AB|CD-56  7546|CPC 19  7523|CPD-56  9037|CSI-56  9037 41|Ci 20 1117|GCRV 68785|GEN# +1.00175224J|HD 175224|HIC  93069|HIP  93069|IDS 18492-5606 AB|PPM 347293|SAO 245823|UBV   16051|UGP 463|WDS J18575-5600AB|2MASS J18573057-5559302|UCAC3 69-440423|DENIS J185730.5-555928|DENIS J185730.6-555928|DENIS J185730.7-555928|WISEA J185730.57-555934.2|IRAS 18532-5603|AKARI-IRC-V1 J1857305-555932|** COO  228|PM J18575-5559|UCAC4 171-200664|WEB 16119                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,**     ,**           ,Double or multiple star        ,PM*|*  |** |IR |PM*|PM*|PM*|**                                                         ,284.3774813,-55.9918895,12.29
889,,2MASS J12462965-3139280     ,2MASS J12462965-3139280|WISE J124629.65-313934.2|EQ J1246-3139|WISEA J124629.64-313934.3|Gaia DR2 6160573275451466752                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,PM*|IR |PM*|BD*|PM*|BD*|BD*|*                                                          ,191.623574,-31.6579144,12.29085
890,,2MASS J22551861-5713056     ,2MUCD 20979|2MASS J22551861-5713056|SIPS J2255-5713|Gaia DR2 6493448634054105728                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,*  |IR |BD*|PM*                                                                        ,343.8275012,-57.21840672,12.3
891,,CD-29  4446                 ,Gaia DR2 5605469398353836544|2MASS J07285137-3014490|2RE J072851-301454|2RE J0728-301|CD-29  4446|CPD-29  1747|GJ  2060|GSC 07104-00159|HIC  36349|HIP  36349|LTT  2853|NLTT 17946|RE J0728-301|RE J072851-301523|V* V372 Pup|1RXS J072851.7-301459|2EUVE J0728-30.2|EUVE J0728-30.2|RX J0728.8-3015|WDS J07289-3015AB|CCDM J07289-3015AB|ASAS J072851-3014.8|** HDS 1054|ASAS J072851-3014.9|PM J07288-3014|UCAC4 299-023214|** SKF 1945AB|TYC 7104-159-1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,BY*    ,BY*          ,Variable of BY Dra type        ,V* |X  |UV |*  |IR |PM*|** |X  |BY*|PM*                                                ,112.2140475,-30.24681744,12.3
892,,G  32-6                     ,SBC9 3806|Karmn J00162+198W|ASCC  829680|USNO-B1.0 1098-00003276|1RXS J001614.0+195142|CCDM J00163+1952A|G  32-6|GEN# +9.80032006|GJ  1006 A|HIC   1295|HIP   1295|IDS 00111+1918 A|L 1226-9|LFT   26|LHS   107|LP  404-61|LTT 10087|NLTT   803|PM 00136+1936|RBS    37|USNO 392|[GKL99]   7|[RHG95]    47|LSPM J0016+1951W|1ES 0013+19.5|1SWASP J001614.18+195144.2|RX J0016.2+1951|[ZEH2003] RX J0016.2+1951  2|WDS J00164+1950A|TYC 1182-28-1|V* EZ Psc|** LDS  863A|** LMP    1A|Gaia DR2 2797745549200763520|PM J00162+1951W|UCAC4 550-000570                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,BY*    ,BY*          ,Variable of BY Dra type        ,** |X  |Fl*|*  |PM*|PM*|IR |err|X  |BY*|V*                                             ,4.060944248,19.86042548,12.3
893,,UCAC4 415-000148            ,Karmn J00066-070AB|2MASS J00063925-0705354|RAVE J000639.3-070535|UCAC4 415-000148|PM J00066-0705|Gaia DR2 2441755840548967424                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,PM*    ,PM*          ,High proper-motion Star        ,IR |*  |PM*|PM*|*                                                                      ,1.663504226,-7.09331342,12.3
894,,L   89-27                   ,NLTT  7115|PLX  441|CSI-66-02059|CSV 102373|Ci 20  149|GJ    85|L   89-27|LFT  182|LHS   150|LPM 101|LTT  1112|NSV   729|[RHG95]   383|PLX  441.00|2MASS J02072345-6634113|PM 02060-6649|Gaia DR2 4698037645878876800|WISEA J020726.36-663407.5|GCRV 26213|PM J02073-6634|GALEX 6384743303913410700                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,PM*    ,PM*          ,High proper-motion Star        ,V* |*  |PM*|IR |PM*|UV |UV                                                             ,31.8468841,-66.56986055,12.3091
895,,L  362-29                   ,LEHPM 134|NLTT   117|GEN# +9.85988102|L  362-29|LFT    3|LHS   102|LP  988-102|LTT    20|PM 00022-4058|[RHG95]     3|2MASS J00043643-4044020|PLX 5815.01|WDS J00046-4044A|** ERO    1A|GJ  1001 A|WISEA J000437.07-404418.8|GCRV 26224|PM J00046-4044|UCAC4 247-000085|Gaia DR2 4996141155411983744                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,PM*    ,PM*          ,High proper-motion Star        ,PM*|IR |PM*|*  |** |PM*                                                                ,1.151822711,-40.73413549,12.311
896,,G 236-34                    ,SBC9 3810|PLX 2470.0|LSPM J1035+6926|2MASS J10352725+6926594|USNO-B1.0 1594-00106280|G 236-34|GJ  3612|L 1912-9|LFT  723|LHS   283|LP   37-179|LTT 12827|NLTT 24730|USNO 609|[RHG95]  1657|PLX 2470.01|PM 10320+6943|Gaia DR2 1073206263054159104|PM J10354+6926                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,SB*    ,SB*          ,Spectroscopic binary           ,PM*|*  |IR |PM*                                                                        ,158.8624513,69.44964622,12.3146
897,,HD 175224B                  ,Gaia DR2 6637963425890391552|CCDM J18575-5600B|CD-56  7546B|CPD-56  9037B|CSI-56  9037 43|GEN# +1.00175224B|GJ   737 B|IDS 18492-5606 B|LTT  7510|NLTT 47186|TYC 8763-1480-2|[RHG95]  2979|WDS J18575-5600B|Smethells 25|** COO  228B|HD 175224B|WEB 16121                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,PM*    ,PM*          ,High proper-motion Star        ,PM*|** |*                                                                              ,284.3770485,-55.99111996,12.3216
898,,Ross  567                   ,Karmn J03531+625|2MASS J03531041+6234081|LSPM J0353+6234|ASCC  115833|USNO-B1.0 1525-00138344|G 246-52|GSC 04067-00242|LTT 11277|NLTT 12013|Ross  567|TYC 4067-242-1|WISEA J035310.47+623405.2|UCAC4 763-028801|PM J03531+6234|Gaia DR1 474987202135817856|Gaia DR2 474987206428439936                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,PM*    ,PM*          ,High proper-motion Star        ,*  |PM*|IR |PM*|PM*|PM*                                                                ,58.29348069,62.56890771,12.3233
899,,HD 175224A                  ,Gaia DR2 6637963425886794752|CCDM J18575-5600A|CD-56  7546A|CPD-56  9037A|CSI-56  9037 42|GCRV  6405 E|GEN# +1.00175224A|GJ   737 A|IDS 18492-5606 A|LTT  7509|NLTT 47185|TYC 8763-1480-1|[RHG95]  2978|WDS J18575-5600A|Smethells 24|USNO-B1.0 0340-00779877|** COO  228A|HD 175224A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,PM*    ,PM*          ,High proper-motion Star        ,PM*|** |*                                                                              ,284.3774629,-55.99190243,12.3247
900,,Wolf 1539                   ,Karmn J04520+064|Gaia DR2 3288082758293022848|2MASS J04520573+0628356|PLX 1088.1|LSPM J0452+0628|ASCC 1010398|USNO-B1.0 0964-00048894|CSI+06-04494|G  83-37|G  84-15|G  82-52|GEN# +9.80082052|GEN# +6.10010179|GJ   179|HIC  22627|HIP  22627|LTT 11525|NLTT 14088|Ross  401|UBV M  42931|Wolf 1539|[RHG95]   836|GSC 00096-00602|TYC   96-602-1|PLX 1088.10|WISEA J045205.83+062832.4|UCAC4 483-009091|StKM 2-391|PM J04520+0628|Gaia DR1 3288082753998763904                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,PM*    ,PM*          ,High proper-motion Star        ,*  |PM*|IR |PM*|PM*|PM*|*                                                              ,73.02388463,6.47655264,12.3252
901,,HD 196877                   ,PLX 4924|CD-53  8617|CPD-53  9928|Ci 20 1221|GCRV 71275|GEN# +1.00196877|GJ   798|GJ   798.0|HD 196877|HIC 102186|HIP 102186|JP11  3263|LFT 1561|LHS   496|LPM 745|LTT  8183|NLTT 49687|UBV   17925|UGP 501|[RHG95]  3228|2MASS J20421878-5241572|PLX 4924.00|Smethells 63|UCAC3 75-433839|USNO-B1.0 0373-01096071|TYC 8791-434-1|PM 20386-5252|WEB 18488|Gaia DR2 6471497502884511232                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR                                                                             ,310.5782615,-52.69926514,12.3274
902,,LP  415-302                 ,LSPM J0439+1615|UCAC2  37486060|2MASS J04393163+1615447|USNO-B1.0 1062-00049239|LHS  1690|LP  415-302|NLTT 13692|WISEA J043931.56+161534.7|Gaia DR2 3310083401849536384                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,PM*    ,PM*          ,High proper-motion Star        ,IR |*  |PM*|PM*|PM*                                                                    ,69.88175899,16.26193245,12.329775
903,,L   85-31                   ,NLTT 58287|2MASS J23532520-7056410|1RXS J235324.1-705640|RAVE J235325.3-705641|USNO-B1.0 0190-00474618|DENIS J235324.9-705641|WISEA J235325.89-705640.8|L   85-31|UCAC4 096-088219|PM J23534-7056|Gaia DR2 6386280060329151616                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,PM*    ,PM*          ,High proper-motion Star        ,X  |IR |*  |*  |PM*|PM*|PM*                                                            ,358.3550993,-70.94476326,12.3467
904,,G  70-28                    ,Karmn J01009-044|CSI-04-00583|G  70-28|G 270-113|GEN# +9.80070028|GJ  1025|L  868-3|LFT   91|LHS   130|LP  646-77|LPM  52|LTT   569|NLTT  3330|PM 00584-0444|UBV M  42313|USNO-B1.0 0855-00009698|[RHG95]   194|2MASS J01005643-0426561|Gaia DR2 2525276565243086080|WISEA J010057.26-042651.8|GCRV 26287                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |PM*|PM*                                                                    ,15.23487687,-4.449044895,12.3573
905,,LP   35-347                 ,LSPM J0825+6902|2MASS J08255285+6902016|GJ  3497|LHS   246|LP   35-347|NLTT 19441|USNO 710|[RHG95]  1315|USNO-B1.0 1590-00098584|PLX 1984.01|WISEA J082551.42+690147.3|Gaia DR2 1097353325106843264                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,PM*    ,PM*          ,High proper-motion Star        ,*  |IR |PM*|PM*                                                                        ,126.4701834,69.0336577,12.358925
906,,Ross 1020                   ,PLX 3056.0|LSPM J1322+2428|NLTT 33920|2MASS J13225673+2428034|USNO-B1.0 1144-00202228|G 149-81|GEN# +9.80149081|GJ  3779|LFT  999|LHS   350|LTT 13887|PM 13206+2444|Ross 1020|USNO 626|[RHG95]  2102|PLX 3056.01|WISEA J132256.26+242754.4|UCAC4 573-050737|PM J13229+2428|Gaia DR2 1446540213584440704                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |PM*|PM*                                                                    ,200.7364494,24.46766736,12.37425
907,,Wolf  940                   ,NLTT 52061|CSI-00-21440|Ci 20 1311|G  26-30|G  93-35|GEN# +9.80026030|GJ  1263|LFT 1660|LHS  3708|LPM 797|LTT  8692|PM 21441-0024|UBV M  42378|USNO 467|Wolf  940|[RHG95]  3403|PLX 5257.02|2MASS J21464040-0010233|** BNG    2A|WDS J21467-0010A|WISEA J214640.97-001029.0|GCRV 26196|UCAC3 180-295252|UCAC4 450-133954|PM J21466-0010|Gaia DR2 2681122098893985408                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |PM*|** |PM*|*                                                              ,326.6684281,-0.173269877,12.3805
908,,LP  335-12                  ,GAT 1379|LSPM J1839+2952|USNO-B1.0 1198-00300890|LP  335-12|NLTT 46822|2MASS J18393308+2952164|Gaia DR2 4587614930058979584                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,LM*    ,LM*          ,Low-mass star (M<1solMass)     ,PM*|*  |IR |PM*|LM*                                                                    ,279.8878119,29.87124477,12.38485
909,,CFBDS J213926+022023        ,2MASS J21392676+0220226|2MUCD 20912|CFBDS J213926+022023|WISEP J213927.09+022023.7|WISEA J213927.09+022023.9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,BD*|IR |*  |BD*|SB*|PM*                                                                ,324.8615375,2.339638889,12.4
910,,G 192-12                    ,Karmn J05599+585|LSPM J0559+5834|ASCC  180633|2MASS J05595569+5834155|USNO-B1.0 1485-00159094|CCDM J05597+5835B|G 192-12|IDS 05511+5833 B|NLTT 15862|[GKL99] 152|[RHG95]   992|1RXS J055955.9+583413|WDS J05599+5834B|** GIC   61B|[SLS2012] PYC J05599+5834|WISEA J055955.68+583412.5|GJ  3372|UCAC3 298-86230|UCAC4 743-041283|PM J05599+5834|GALEX 6374258371770453237|Gaia DR2 269066953631488384                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|** |IR |PM*|X  |X  |PM*|PM*|PM*|PM*|*  |UV |UV                                     ,89.9820196,58.5708921,12.40246667
911,,LEHPM 5031                  ,LEHPM 5031|2MASS J22415937-7500329|WISEA J224159.16-750030.8|DENIS J224159.3-750034|Gaia DR2 6381623044470172672                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,PM*    ,PM*          ,High proper-motion Star        ,PM*|IR |PM*|*                                                                          ,340.4973684,-75.00918287,12.4314
912,,L  601-78                   ,GJ  3466|L  601-78|LHS  1955|LP  898-1|LTT  2982|NLTT 18636|PM 07529-2913|[RHG95]  1245|2MASS J07545478-2920559|WISEA J075455.05-292101.4|UCAC4 304-033664|PM J07549-2920|** KUI   32|WDS J07549-2920AB|Gaia DR2 5600272625752039296                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,**     ,**           ,Double or multiple star        ,PM*|*  |IR |PM*|PM*|PM*|**                                                             ,118.7280597,-29.34896958,12.4451
913,,G  86-28                    ,Karmn J05106+297|LSPM J0510+2946|NLTT 14591|ASCC  660480|2MASS J05103956+2946479|USNO-B1.0 1197-00075969|G  86-28|WISEA J051039.31+294648.5|UCAC4 599-017163|PM J05106+2946|Gaia DR2 156150240492946816                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,PM*    ,PM*          ,High proper-motion Star        ,IR |*  |PM*|PM*|PM*                                                                    ,77.66466785,29.77998222,12.4471
914,,UCAC4 608-044702            ,2MASS J08401597+3127068|USNO-B1.0 1214-00166608|LSPM J0840+3127|UCAC4 608-044702|PM J08402+3127|Gaia DR2 709563717249089792                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,PM*    ,PM*          ,High proper-motion Star        ,*  |IR |*  |PM*|PM*|*                                                                  ,130.0665976,31.45189289,12.4549
915,,2MASS J04013766+2849529     ,WISE J040137.21+284951.7|2MASS J04013766+2849529|WISEA J040137.22+284951.6|Gaia DR2 167202325215063168                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,PM*|PM*|IR |*                                                                          ,60.40664139,28.83130879,12.4549
916,,L  489-58                   ,NLTT 47130|PLX 4355|CSI-38-18503  1|Ci 20 1112|GJ   732 A|L  489-58|LFT 1441|LHS   469|LPM 690|LTT  7491|[RHG95]  2969|2MASS J18533991-3836442|PLX 4355.00|Gaia DR2 6729187672268648832|PM 18503-3840|WISEA J185340.22-383654.1|UCAC4 257-176293|PM J18536-3836|DENIS J185339.9-383644                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |PM*|PM*                                                                    ,283.4163044,-38.61234889,12.4606
917,,LP  756-18                  ,NLTT 50147|RAVE J205535.9-140349|2MASS J20553706-1403545|CSI-14-20528  2|GJ   810 B|L  856-54 B|LFT 1583|LHS   500|LP  756-18|LTT  8282|[RHG95]  3266|WDS J20555-1400B|PM 20528-1415|WISEA J205538.14-140359.8|** LDS 6418B|Gaia DR2 6887025727524300416                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |** |PM*|PM*                                                                ,313.9046471,-14.06524464,12.4639
918,,L   87-10                   ,NLTT  3573|L   87-10|2MASS J01040695-6522272|RAVE J010407.0-652227|WISEA J010406.41-652229.0|SIPS J0104-6522|UCAC4 124-000988|PM J01041-6522|Gaia DR2 4705628051386514304                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,PM*    ,PM*          ,High proper-motion Star        ,PM*|PM*|*  |IR |PM*                                                                    ,16.02899267,-65.37421837,12.4699
919,,2MASS J11553952-3727350     ,2MUCD 20431|2MASS J11553952-3727350|2MASSW J1155395-372735|WISEA J115539.57-372743.9|Gaia DR2 3460806448649173504                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,BD*    ,BD*          ,Brown Dwarf (M<0.08solMass)    ,*  |IR |BD*|PM*|BD*                                                                    ,178.9147335,-37.4598628,12.47486667
